N,Годы,Название,Историческая справка,Страна
689,(AD 1649–1654),ГЕТМАНЩИНА,"ГЕТМАНЩИНА (AD 1649–1654) Государство, феодальное, украинское; республика с элементами монархии (официальное название — Войско Запорожское). Возникло на терр. совр.Украины
в результате восстания под руководством Богдана Хмельницкого и отделения от Речи Посполитой. Присоединено к Русскому царству (в составе Российской империи Гетманщина существовала до 1764). Столицы — Чигирин, Гадяч, Батурин, Глухов","Белоруссия Молдавия Россия
Россия (ЦФО)
Украина"
253,(AD 1713–),ГИБРАЛТАР (брит.),ГИБРАЛТАР (брит.) (AD 1713–) Владение Великобритании. Образовано в результате отторжения Великобританией территории Гибралтара от Испании. Столица — Гибралтар,Гибралтар
308,(648–408 BC),ГИМЕРА,"ГИМЕРА (648–408 BC) Город-государство, рабовладельческий, монархический. Основан древними греками на терр. совр. Италии (о. Сицилия). Разрушен Карфагеном",Италия
578,(AD 1367–1417),ГИРОКАСТРА,"ГИРОКАСТРА (AD 1367–1417) Государство, феодальное, монархическое (Княжество Гирокастра). Зародилось на терр. совр.Албании в результате отделения от Эпирского деспотата. Завоевано Османским эмиратом. Столица — Гирокастрадт",Албания
546,(657–71 BC),ГИСТРИЯ,"ГИСТРИЯ (657–71 BC) Город-государство, рабовладельческий, монархический, греческая колония. Основан древними греками на терр. совр. Румынии . Завоеван Римской республикой",Румыния
611,(AD 450–942),ГЛИВИСИНГ,"ГЛИВИСИНГ (AD 450–942) Государство, феодальное, монархическое (Королевство Гливисинг). Основано кельтами на терр. совр. Великобритании (в Уэльсе). Столица не определена. Объединилось с Гвентом в Морганнуг.",Великобритания
401,(AD 1806–1850),ГОГЕНЦОЛЛЕРН-ЗИГМАРИНГЕН,"ГОГЕНЦОЛЛЕРН-ЗИГМАРИНГЕН (AD 1806–1850) Государство, монархическое (Княжество Гогенцоллерн-Зигмаринген). Образовалось на терр. совр.Германии в результате ликвидации Священной Римской империи (в составе Священной Римской империи образовано в 1623 в результате преобразования Графства Гогенцоллерн-Зигмаринген). В 1806–1813 — член Рейнского союза, в 1815–1850 — член Германского союза. Вошло в состав Пруссии. Столица — Зигмаринген",Германия
400,(AD 1806–1850),ГОГЕНЦОЛЛЕРН-ХЕХИНГЕН,"ГОГЕНЦОЛЛЕРН-ХЕХИНГЕН (AD 1806–1850) Государство, монархическое (Княжество Гогенцоллерн-Хехинген). Образовалось на терр. совр.Германии в результате ликвидации Священной Римской империи (в составе Священной Римской империи образовано в 1623 в результате преобразования Графства Гогенцоллерн-Хехинген). В 1806–1813 — член Рейнского союза, в 1815–1850 — член Германского союза. Вошло в состав Пруссии. Столица — Хехинген",Германия
601,(AD 1707–),ГОДОДИН,"ГОДОДИН (AD 470–638) Государство, феодальное, монархическое. Основано на терр. совр. Великобритании (на юге Шотландии) бриттами. Столицы — Трапрайн-Лоу, Дин-Эйдин (современный Эдинбург). Завоевано Нортумбрией.",Великобритания
986,(AD 1798–1825),ГОЛЛАНДСКАЯ ИНДИЯ,ГОЛЛАНДСКАЯ ИНДИЯ (AD 1798–1825) Владение Нидерландов. Образовано в результате передачи в Индии владений Голландской Ост-Индской компании Нидерландам. Столица — Кочин. Вошло в состав Владений Британской Ост-Индской компании. Зародилось на терр. совр.Индии,Индия
850,"(AD 1800–1942},{1945–1949)",ГОЛЛАНДСКАЯ ОСТ-ИНДИЯ,"ГОЛЛАНДСКАЯ ОСТ-ИНДИЯ (AD 1800–1942},{1945–1949) Колония Нидерландов. (Образована в результате в результате перехода власти на терр. совр. Индонезии от Голландской Ост-Индской компании к Батавской Республике. Оккупирована Японией},{Освобождена от японской оккупации. Преобразована в Республику Индонезия; провозглашена в 1945, признана Нидерландами в 1949) Столица — Батавия.",Индонезия
384,"(AD 1110–1386},{1474–1863)",ГОЛЬШТЕЙН,"ГОЛЬШТЕЙН (AD 1110–1386},{1474–1863) Государство, феодальное (Графство (с 1474 герцогство) Гольштейн). (Зародилось на терр. совр. Германии в результате отделения от Священной Римской империи (формально оставалось в составе Священной Римской Империи). Объединилось с герцогством Шлезвиг, образовав графство Шлезвиг-Гольштейн},{Воссоздано в результате раздела графства Шлезвиг-Гольштейн как герцогство Гольштейн. Вошло в состав Пруссии). Неоднократно было в вассальной зависмости от Дании или Священной Римской империи. Столица — Киль",Германия
655,(AD 1101–1241),ГОРОДЕНСКОЕ КНЯЖЕСТВО,"ГОРОДЕНСКОЕ КНЯЖЕСТВО (AD 1101–1241) Государство, феодальное, славянское, удельное княжество. Зародилось на терр. совр.Белоруссиив результате отделения от Полоцкого княжества. Вошло в состав Великого княжества Литовского. Столица — Гродно",Белоруссия
488,(900–67 BC),ГОРТИНА,ГОРТИНА (900–67 BC) Город-государство. Зародился на терр. о. Крит (совр.Греция) после заселения острова дорийцами. Завоеван Римской Республикой,Греция
188,(AD 1235–1556),ГОСУДАРСТВО АБДАЛЬВАЛИДОВ,"ГОСУДАРСТВО АБДАЛЬВАЛИДОВ (AD 1235–1556) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр.Алжира в результате отсоединения от Государства Альмохадов. Столица — Тлемсен. Завоевано Османской империей.",Алжир Марокко
170,(AD 800–909),ГОСУДАРСТВО АГЛАБИДОВ,"ГОСУДАРСТВО АГЛАБИДОВ (AD 800–909) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр.Тунисав результате распада Халифата Аббасидов. Столица — Кайруан. В результате государственного переворота преобразовано в Халифат Фатимидов.",Алжир Италия Ливия Мальта Марокко Тунис
131,(AD 1920–1930),ГОСУДАРСТВО АЛАВИТОВ(фр.),"ГОСУДАРСТВО АЛАВИТОВ (фр.) (AD 1920–1930) Мандатная территория Лиги наций под управлением Франции (AD 1920–1925 — Территория Алавитов, AD 1925–1930 — Государство Алавитов). Образована на территории Сирии (зона брит.-фр. оккупации). Столица — Латакия. Переименована в Латакию (фр.)",Сирия
204,(AD 1659–1666),ГОСУДАРСТВО АЛАУИТОВ,"ГОСУДАРСТВО АЛАУИТОВ (AD 1659–1666) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр.Марокков результате распада Государства Саадидов. Столица — Марракеш. Преобразовано в Султанат Марокко",Марокко
868,"(AD 864–900},{914–928)",ГОСУДАРСТВО АЛИДОВ,"ГОСУДАРСТВО АЛИДОВ (AD 864–900},{914–928) Государство, феодальное мусульманское. (Образовано на терр. совр. Ирана в результате отделения от Государства Тахиридов. Завоевано Государством Саманидов}, {Отделилось от Государства Саманидов. Завоевано Государством Зияридов). Столица — Амуль",Иран
187,(AD 1040–1147),ГОСУДАРСТВО АЛЬМОРАВИДОВ,"ГОСУДАРСТВО АЛЬМОРАВИДОВ (AD 1040–1147) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр. Мавритании в результате объединения берберских племен. Столицы — Агмат (1040-1062), Марракеш (1062-1147) и Кордова. Завоевано Государством Альмохадов.",Алжир Гибралтар Испания Марокко Португалия
171,(AD 1121–1269),ГОСУДАРСТВО АЛЬМОХАДОВ,"ГОСУДАРСТВО АЛЬМОХАДОВ (AD 1121–1269) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр. Мароккона части территории Государства Альморавидов. Столицы — Марракеш, Севилья. В результате распада образовалось Государство Маринидов.",Алжир Гибралтар Испания Ливия Марокко Португалия Тунис
867,(AD 665–715),ГОСУДАРСТВО БАВАНДИ,"ГОСУДАРСТВО БАВАНДИ (AD 665–715) Государство, феодальное мусульманское. Образовано на терр. совр. Иранав результате распада Персидской империи Сасанидов. Столицы — Сари, Амуль. Завоевано Государством Хулагуидов",Иран
861,(AD 934–1055),ГОСУДАРСТВО БУИДОВ,"ГОСУДАРСТВО БУИДОВ (AD 934–1055) Государство, феодальное теократическое мусульманское. Образовано на терр. совр. Ирана в результате отделения от Халифата Аббасидов. Столица — Шираз. Завоевано Сельджукским государством.",Ирак Иран Кувейт
215,(AD 1420–1549),ГОСУДАРСТВО ВАТТАСИДОВ,"ГОСУДАРСТВО ВАТТАСИДОВ (AD 1420–1549) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр.Марокко в результате государственного переворота в Государстве Маринидов. Столица — Фес. Завоевано Государством Саадидов",Алжир Марокко
928,(AD 320–600),ГОСУДАРСТВО ГУПТОВ,"ГОСУДАРСТВО ГУПТОВ (AD 320–600) Государство, рабовладельческое, монархическое. Зародилось на терр. совр.Индиив результате провозглашения царем представителя династии Гуптов Чандрагупта I. Столица — Паталипутра. Распалось",Индия Пакистан
924,(AD 1148–1215),"ГОСУДАРСТВО ГУРИДОВ

GHURID SULTANATE","ГОСУДАРСТВО ГУРИДОВ (AD 1148–1215) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Афганистана в результате отделения от Газневидского государства. Столицы — Газни, Лахор. Завоевано Государством Хорезмшахов

GHURID SULTANATE (AD 1148–1215) State, a slave, a monarchist. Arose in the territory of Afghanistan as a result of separation from Ghaznavid Empire. Capital - Ghazni, Lahore. Conquered by the Khwarazmian Empire",Афганистан Индия Пакистан
844,(AD 828–1043),ГОСУДАРСТВО ЗИЯРИДОВ,"ГОСУДАРСТВО ЗИЯРИДОВ (AD 828–1043) Государство, феодальное, монархическое. Образовано на терр. совр. Ирана в результате отделения от Государства Саманидов. Столица — Горган.Завоевано Сельджукским государством.",Иран Туркменистан
98,(AD 1335–1432),ГОСУДАРСТВО ДЖАЛАИРИДОВ,"ГОСУДАРСТВО ДЖАЛАИРИДОВ (AD 1335–1432) Государство, феодальное. Образовано на терр. совр. Ирана в результате распада Государства Хулагуидов. Завоевано Государством Кара-Коюнлу","Азербайджан Ирак Иран Россия, (ЮФО), Турция"
197,(AD 788–916),ГОСУДАРСТВО ИДРИСИДОВ,"ГОСУДАРСТВО ИДРИСИДОВ/a> (AD 788–916) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр.Марокко в результате отделения от Халифата Аббасидов. Столица — Фес. Завоевано Халифатом Фатимидов.",Алжир Марокко
871,(AD 1335–1357),ГОСУДАРСТВО ИНДЖУИДОВ,"ГОСУДАРСТВО ИНДЖУИДОВ (AD 1335–1357) Государство, феодальное. Зародилось на терр. совр. Ирана в результате распада Государства Хулагуидов. Завоевано Государством Музаффаридов. Столицы — Шираз, Исфахан",Иран
869,(AD 1090–1256),ГОСУДАРСТВО ИСМАИЛИТОВ,"ГОСУДАРСТВО ИСМАИЛИТОВ (AD 1090–1256) Государство, теократическое мусульманское. Зардилось на терр. совр. Ирана в результате отделения от Сельджукского государства. Столица — Аламаут. Завоевано Государством Хулагуидов.",Иран
951,(75–30 BC),ГОСУДАРСТВО КАНВА,"ГОСУДАРСТВО КАНВА (75–30 BC) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Индии в результате захвата власти в Имерии Шунга династией Канва. Столицы — Палипутра, Видиша. Завоевано Империией Сатавахана",Индия
889,(AD 899–1076),ГОСУДАРСТВО КАРМАТОВ (,"ГОСУДАРСТВО КАРМАТОВ (AD 899–1076) Государство, теократическое мусульманское. Образовано религиозной сектой карматов на терр. совр. Бахрейна в результате отделения от Халифата Аббасидов. Завоевано Эмиратом Уюнидов.",Бахрейн Катар
845,(AD 1335–1381),"ГОСУДАРСТВО КУРТОВ

Kurt dynasty","ГОСУДАРСТВО КУРТОВ (AD 1335–1381) Государство, феодальное монархическое. Образовано на терр. совр. Афганистана в результате отделения от Государства Хулагуидов. Столица — Герат. Завоевано Империей Тимуридов",Афганистан Иран Пакистан Таджикистан Туркменистан
198,(AD 976–1070),ГОСУДАРСТВО МАГРАВИДОВ,"ГОСУДАРСТВО МАГРАВИДОВ (AD 976–1070) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр.Марокко в результате отделения от Государства Фатимидов. Столица — Фес. Завоевано Государством Альморавидов.",Алжир Марокко
199,(AD 1269–1420),ГОСУДАРСТВО МАРИНИДОВ,"ГОСУДАРСТВО МАРИНИДОВ (AD 1269–1420) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр.Марокков результате распада Государства Альмохадов. Столица — Фес. В результате государственного переворота преобразовано в Государство Ваттасидов",Алжир Марокко
932,(AD 1674–1818),ГОСУДАРСТВО МАРАТХОВ,"ГОСУДАРСТВО МАРАТХОВ (AD 1674–1818) Государство, феодальное, монархическое, индуистское. Зародилось на терр. совр.Индиив результате отделения от Империи Великих Моголов. Столицы — Райгад, Пуна. Завоевано Великобританией и включено в состав владений Британской Ост-Индской компании в Индии",Индия Пакистан
870,(AD 1335–1393),"ГОСУДАРСТВО МУЗАФФАРИДОВ

Muzaffarids","ГОСУДАРСТВО МУЗАФФАРИДОВ (AD 1335–1393) Государство, феодальное. Зародилось на терр. совр. Ирана в результате распада Государства Хулагуидов. Завоевано Империей Тимуридов",Афганистан Иран Пакистан
316,(AD 476–493),ГОСУДАРСТВО ОДОАКРА,"ГОСУДАРСТВО ОДОАКРА (AD 476–493) Государство, рабовладельческое, монархическое. Образовалось на терр. совр. Италии в результате захвата власти в Западной Римской Империи вождем германцев Одоакром и провозглашения его королем Италии (формально вошло в состав Византийской Империи). Столица — Рим. Завоевано Королевством Остготов.",Австрия Албания Босния и Герцеговина Ватикан Германия Италия Сербия Словения Франция Хорватия Черногория Швейцария
74,(AD 1098–1232),ГОСУДАРСТВО ОРТУКИДОВ,"ГОСУДАРСТВО ОРТУКИДОВ (AD 1098–1232) Государство, феодальное. Образовано на терр. совр.Турции в результате отделения от Сельджукского Государства. Столица — Диярбакыр. Завоевано Государством Айюбидов",Сирия Турция
954,(AD 1490–1636),АХМАДНАГАРСКИЙ СУЛТАНАТ,"ГОСУДАРСТВО ПАЛЛАВОВ (AD 220–880) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Индии в результате распада Империи Сатавахана. Столица — Канчипурам. Завоевано государством Чола",Индия
791,(AD 955–1071),ГОСУДАРСТВО РАВВАДИДОВ,"ГОСУДАРСТВО РАВВАДИДОВ (AD 955–1071) Государство, феодальное. Образовано на терр. совр. Ирана в результате распада Халифата Аббасидов. Столица — Тебриз. Завоевано Сельджукским Государством.",Азербайджан Иран
929,(AD 489–651),ГОСУДАРСТВО РАИ,"ГОСУДАРСТВО РАИ (AD 489–651) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Пакистана в результате отделения от Государства Гуптов. Столица — Аль-Рор. Завоевано Арабским халифатом",Пакистан
185,(AD 761–909),ГОСУДАРСТВО РУСТАМИДОВ,"ГОСУДАРСТВО РУСТАМИДОВ (AD 761–909) Государство, феодальное теократическое (хариджитское) арабо-мусульманское. Образовано на терр. совр.Алжира в результате объединения берберских племен. Столица — Тахарт. Завоевано Халифатом Фатимидов.",Алжир
203,(AD 1509–1659),ГОСУДАРСТВО СААДИДОВ,"ГОСУДАРСТВО СААДИДОВ (AD 1509–1659) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр.Марокко в результате отделения от Государства Ваттасидов. Столица — Марракеш. В результате распада образовано Государство Алауитов",Алжир Марокко
789,(AD 889–941),ГОСУДАРСТВО САДЖИДОВ,"ГОСУДАРСТВО САДЖИДОВ (AD 889–941) Государство, феодальное. Образовано на терр. совр.Ирана в результате распада Халифата Аббасидов. Столицы — Марага, Ардебиль. Преобразовано в Государство Саларидов в результате завоевания власти династией Саларидов.",Азербайджан Иран
790,(AD 941–982),ГОСУДАРСТВО САЛАРИДОВ,"ГОСУДАРСТВО САЛАРИДОВ (AD 941–982) Государство, феодальное. Образовано на терр. совр. Ирана в результате завоевания власти династией Саларидов в Государстве Саджидов. Столица — Ардебиль. Завоевано Государством Раввадидов.",Азербайджан Иран
816,(AD 819–999),"ГОСУДАРСТВО САМАНИДОВ

Samanid Empire","ГОСУДАРСТВО САМАНИДОВ (AD 819–999) Государство, феодальное, монархическое. Образовано на терр. совр. Ирана в результате отделения от Халифата Аббасидов (формально до 875 — эмират в составе Халифата Аббасидов. Столицы — Самарканд, Бухара. Завоевано Караханидским государством.",Афганистан Иран Казахстан Киргизстан Пакистан Таджикистан Туркменистан Узбекистан
819,(AD 873–900),"ГОСУДАРСТВО САФФАРИДОВ

Saffarid Empire","ГОСУДАРСТВО САФФАРИДОВ (AD 873–900) Государство, феодальное, монархическое. Образовано на терр. совр. Афганистана в результате захвата власти династией Саффаридов в Государстве Тахиридов (формально — эмират в составе Халифата Аббасидов). Столицы — Зарандж, Нишапур. Завоевано Государством Саманидов.",Афганистан Иран Пакистан Туркменистан
846,(AD 1337–1381),ГОСУДАРСТВО СЕРБЕДАРОВ,"ГОСУДАРСТВО СЕРБЕДАРОВ (AD 1337–1381) Государство, феодальное. Образовано на терр. совр. Ирана в результате отделения от Государства Хулагуидов. Столица — Себзевар. Завоевано Империей Тимуридов",Туркменистан Иран
930,(AD 1026–1351),ГОСУДАРСТВО СУМРА,"ГОСУДАРСТВО СУМРА (AD 1026–1351) Государство, феодальное, монархическое. Зародилось на терр. совр. Пакистанав результате отделения Синда от Государства Газневидов и установления власти исмаиллитской династии Сумра. Столица — Тхатта. Завоевано Делийским султанатом",Индия Пакистан
817,(AD 821–873),"ГОСУДАРСТВО ТАХИРИДОВ

Tahirid Emirate","ГОСУДАРСТВО ТАХИРИДОВ (AD 821–873) Государство, феодальное, монархическое. Образовано на терр. совр. Ирана в результате отделения от Халифата Аббасидов (формально — эмират в составе Халифата Аббасидов). Столица — Нишапур. После захвата власти династией Саффаридов прекратил свое существование и преобразовался в Государства Саффаридов.",Афганистан Иран Казахстан Пакистан Туркменистан
1015,(AD 800–1150),ГОСУДАРСТВО ТОЛЬТЕКОВ,"ГОСУДАРСТВО ТОЛЬТЕКОВ (AD 800–1150) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Мексики в результате вторжения с севера племени тольтеков. Столицы — Серро-де-ла-Эстрелья, затем в Толлан (современная Тула). Разрушено нашествием других племен",Мексика
810,(177–7 BC),ГОСУДАРСТВО УСУНЕЙ,"ГОСУДАРСТВО УСУНЕЙ (177–7 BC) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Киргизии в результате переселения кочевого племени усуней из Синцзяна (Вост. Китай) в Семиречье. Столица — Чугучэн. Прекратило существование в результате переселения усуней в Приаралье.",Казахстан Киргизстан
891,(AD 1253–1320),ГОСУДАРСТВО УСФУРИДОВ,"ГОСУДАРСТВО УСФУРИДОВ (AD 1253–1320) Государство, мусульманское. Зародилось на терр. совр. Бахрейна в результате завоевания Эмирата Уюнидов. Завоевано Государством Хулагуидов",Бахрейн Катар
186,(AD 1044–1152),ГОСУДАРСТВО ХАММАДИДОВ,"ГОСУДАРСТВО ХАММАДИДОВ (AD 1044–1152) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр.Алжира в результате отделения от Халифата Фатимидов. Столицы — Кала-Бени-Хаммад, Беджайя. Завоевано Государством Альмохадов.",Алжир Тунис
172,(AD 1237–1574),ГОСУДАРСТВО ХАФСИДОВ,"ГОСУДАРСТВО ХАФСИДОВ (AD 1237–1574) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр. Туниса на части территории Государства Альмохадов. Столица — Тунис. Завоевано Османской Империей.",Алжир Ливия Тунис
793,(AD 1097–1231),"ГОСУДАРСТВО ХОРЕЗМШАХОВ

Khwarazmian Empire","ГОСУДАРСТВО ХОРЕЗМШАХОВ (AD 1097–1231) Государство, феодальное, монархическое. Зародилось на терр. совр. Узбекистанa в результате отделения от Сельджукского государства. Завоевано Монгольской империей. Столицы — Гургандж (1097–1220), Самарканд (1212–1220), Газни (1220–1221), Дели (1221–1225), Тебриз (1225–1231)",Азербайджан Афганистан Иран Казахстан Киргизстан Пакистан Таджикистан Туркменистан Узбекистан
77,(AD 1256–1353),"ГОСУДАРСТВО ХУЛАГУИДОВ

Ilkhanate","ГОСУДАРСТВО ХУЛАГУИДОВ (AD 1256–1353) Государство, феодальное. Образовано на терр. совр. Ирана в результате отделения от Монгольской империи внуком Чингисхана Хулагу-ханом. Столицы — Марага, Тебриз, Сольтание. Распалось на несколько государств (Государство Джалаиридов, Государство Мозафферидов и др.)","Азербайджан Афганистан Армения Бахрейн Грузия Ирак Иран Кувейт Пакистан Россия, (ЮФО), Таджикистан Туркменистан Турция"
794,(AD 1335–1357),ГОСУДАРСТВО ЧОБАНИДОВ,"ГОСУДАРСТВО ЧОБАНИДОВ (AD 1335–1357) Государство, феодальное. Зародилось на терр. совр. Ирана в результате распада Государства Хулагуидов. Завоевано Государством Джалаиридов. Столица — Тебриз",Азербайджан Иран
75,(AD 1100–1207),ГОСУДАРСТВО ШАХАРМЕНОВ,"ГОСУДАРСТВО ШАХАРМЕНОВ (AD 1100–1207) Государство, феодальное. Образовано на терр. совр.Турции в результате отделения от Сельджукского Государства. Столица — Ахлат. Завоевано Государством Айюбидов",Турция
717,(AD 1382–1538),ГОСУДАРСТВО ШИРВАНШАХОВ,"ГОСУДАРСТВО ШИРВАНШАХОВ (AD 1382–1538) Государство, феодальное, монархическое. Зародилось на терр. совр. Азербайджана в результате отделения от Государства Джалаиридов. Столица — Шемаха. Завоевано Персидской Империей Сефевидов.","Азербайджан Россия, (ЮФО)"
811,(AD 420–567),"ГОСУДАРСТВО ЭФТАЛИТОВ

Hephthalite Empire","ГОСУДАРСТВО ЭФТАЛИТОВ (AD 420–567) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Афганистана в результате завоевания эфталитами (белыми гуннами) части территории Персидской империи Сасанидов. Столица — Хуа. Завоевано Персидской империей Сасанидов.",Афганистан Индия Иран Казахстан Киргизстан Пакистан Таджикистан Туркменистан Узбекистан
231,(AD 1526–1804),ГРАНАДСКИЙ ЭМИРАТ,"ГРАНАДСКИЙ ЭМИРАТ (AD 1012-1090},{1238–1492) Государство, феодальное теократическое арабо-мусульманское. (Зародилось на терр. совр.Испании в результате распада Кордовского Халифата (Эмират Зиридов). Завоевано Государством Альморавидов},{Воссоздано в результате распада Государства Альмохадов. Завоевано Испанией) Столица — Гранада.",Гибралтар Испания Португалия
968,(AD 1189–1317),ГОСУДАРСТВО ЯДАВОВ,"ГОСУДАРСТВО ЯДАВОВ (AD 1189–1317) Государство, феодальное, монархическое. Зародилось на терр. совр. Индии после распада Западных Чалукья. Столица — Девагири. Завоевано Делийским султанатом",Индия
231,(AD 1071-1130),ГРАФСТВО СИЦИЛИЯ,"ГРАФСТВО СИЦИЛИЯ (AD 1071-1130) Государство, феодальное, монархическое. Зародилось на терр. совр.Италии в результате завоевания норманнами части Сицилийского Эмирата. Столица — Палермо. В результате объединения Герцогство Апулия и Калабрия и Графства Сицилия образовано Королевство Апулия и Сицилия",Италия Мальта Марокко
809,(256–125 BC),"ГРЕКО-БАКТРИЙСКОЕ ЦАРСТВО

Greco-Bactrian Kingdom","ГРЕКО-БАКТРИЙСКОЕ ЦАРСТВО (256–125 BC) Государство, эллинистическое рабовладельческое, монархическое. Зародилось на терр. совр. Афганистана в результате отделения от Государства Селевкидов. Столица — Бактры. Разрушено кочевыми племенами тохаров, наследники греко-бактрийских царей основали Индо-Греческое царство",Афганистан Индия Иран Казахстан Киргизстан Пакистан Таджикистан Туркменистан Узбекистан
513,"(AD 1830–1941},{1944–)",ГРЕЦИЯ,"ГРЕЦИЯ (AD 1830–1941},{1944–) Государство капиталлистическое (Греческая Республика, до 1973 — Королевство Греция). (Образовалось на терр. совр. Греции в результате отделения от Османской империи. Оккупировано Германией, Италией, Болгарией},{Освобождено от оккупации.) Столица — Афины",Греция
771,(AD 1918–1921),ГРУЗИНСКАЯ ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА,"ГРУЗИНСКАЯ ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА (AD 1918–1921) Государство, капиталлистическое. Образовано на терр. совр. Грузии в результате отделения от Советской России. Столица — Тбилиси. После ввода советских войск и провозглашения советской власти преобразована в Грузинскую ССР",Азербайджан Армения Грузия Турция
772,"(AD 1921–1922, март))",ГРУЗИНСКАЯ ССР,"ГРУЗИНСКАЯ ССР (AD 1921–1922, март) Государство, социалистическое (Грузинская Социалистическая Советская Республика). Образовано в результате установления советской власти в Грузинской Демократической Республике. Столица — Тбилиси. Вошло в состав Закавказской СФСР",Грузия
774,(AD 1991–),ГРУЗИЯ,"ГРУЗИЯ (AD 1991–) Государство, республика (Республика Грузия). Зародилось на терр.совр. Грузии в результате распада СССР. Столица — Тбилиси",Азербайджан Армения Грузия
63,"(AD 1008–1245},{1353–1466)",ГРУЗИНСКОЕ ЦАРСТВО,"ГРУЗИНСКОЕ ЦАРСТВО (AD 1008–1245},{1353–1466) Государство, грузинское феодальное, монархическое. Столица — Тбилиси. (Возникло на терр. совр. Грузии в результате объединения Багратом III грузинских земель на основе Тао-Кларджетского Княжества. Завоевано Монгольской Империей},{Восстановила независимость после распада Государства Хулагуидов. Распалось на государства: Картлийское Царство , Кахетинское Царство, Имеретинское Царство, Самцсхе-Саатабаго)","Азербайджан Армения Грузия Россия, (ЮФО), Турция"
976,(AD 1407–1573),ГУДЖАРАТСКИЙ СУЛТАНАТ,"ГУДЖАРАТСКИЙ СУЛТАНАТ (AD 1407–1573) Государство, феодальное, монархическое. Зародилось на терр. совр. Индии в результате отделения от Делийского султаната. Столицы — Анахильвар (1407–1411), Ахмадабад (1411–1484, 1535–1573) , Мухаммадабад (1484–1535). Завоевано Империей Великих Моголов",Индия
961,(AD 647–1036),ГУРДЖАРА-ПРАТИХАРА,"ГУРДЖАРА-ПРАТИХАРА (AD 647–1036) Государство, феодальное, монархическое. Зародилось на терр. совр. Индии в результате распада Империи Харша. Столица — Каннаудж. Завоевано Газневидским государством",Индия
754,(AD 1463–1555),ГУРИЙСКОЕ КНЯЖЕСТВО,"ГУРИЙСКОЕ КНЯЖЕСТВО (AD 1463–1555) Государство, феодальное, монархическое. Возникло на терр. совр.Грузии в результате распада Грузинского царства. Столица — Озургети. Попало в вассальную зависимость от Османской империи",Грузия
757,(AD 1555–1804),ГУРИЙСКОЕ КНЯЖЕСТВО(осм.),"ГУРИЙСКОЕ КНЯЖЕСТВО (осм.) (AD 1555–1804) Государство, феодальное, монархическое, вассал Османской империи. Возникло на терр. совр.Грузии в результате попадания Гурийского княжества в вассальную зависимость от Османской империи. Столица — Озургети. Вошло в состав Российской империи",Грузия
792,(AD 951–1071),ГЯНДЖИНСКИЙ ЭМИРАТ,"ГЯНДЖИНСКИЙ ЭМИРАТ (AD 951–1071) Государство, феодальное теократическое, мусульманское. Зародилось на терр. совр. Азербайджана в результате отделения от Государства Саларидов. Завоевано Сельджукским Государством. Столица — Гянджа.",Азербайджан
782,(AD 1747–1804),ГЯНДЖИНСКОЕ ХАНСТВО,"ГЯНДЖИНСКОЕ ХАНСТВО (AD 1747–1804) Государство, феодальное, монархическое. Зародилось на терр. совр.Азербайджана в результате отделения от Персидской державы Надир-шаха. Вошло в состав Российской империи. Столица — Гянджа.",Азербайджан Армения
541,(82 BC–AD 106),ДАКИЙСКОЕ ЦАРСТВО,"ДАКИЙСКОЕ ЦАРСТВО (82 BC–AD 106) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Румынии в результате объединения гето-дакийских племен. Завоевано Римской империей. Столица — Сармизегетуза",Болгария Молдавия Румыния Сербия Украина Хорватия
612,(AD 1711–1848),ДАЛ РИАДА,"ДАЛ РИАДА (AD 580–843) Государство, феодальное, монархическое. Основанно ирландцами на терр. совр.Великобритании (западное побережье Шотландиии и север Ирландии). Столица не определена. Объединилось с Королевством пиктов в Шотландию.",Великобритания
